Année,Data qualifier,Dollars (En),Juridiction,Jurisdiction,Protection zone,Year
1990,a,3569089,Colombie-Britannique,British Columbia,Intensive,1990
1991,a,1675581,Colombie-Britannique,British Columbia,Intensive,1991
1992,a,2001511,Colombie-Britannique,British Columbia,Intensive,1992
1993,a,3650159,Colombie-Britannique,British Columbia,Intensive,1993
1994,a,11844924,Colombie-Britannique,British Columbia,Intensive,1994
1995,a,7337770,Colombie-Britannique,British Columbia,Intensive,1995
1996,a,2798557,Colombie-Britannique,British Columbia,Intensive,1996
1997,a,17200,Colombie-Britannique,British Columbia,Intensive,1997
1998,r,5028,Colombie-Britannique,British Columbia,Intensive,1998
1999,a,1021,Colombie-Britannique,British Columbia,Intensive,1999
2000,p,1088,Colombie-Britannique,British Columbia,Intensive,2000
2001,p,646,Colombie-Britannique,British Columbia,Intensive,2001
2002,a,2474250,Colombie-Britannique,British Columbia,Intensive,2002
2003,a,99232,Colombie-Britannique,British Columbia,Intensive,2003
2004,a,1093141,Colombie-Britannique,British Columbia,Intensive,2004
2005,a,102647,Colombie-Britannique,British Columbia,Intensive,2005
2006,a,1071704,Colombie-Britannique,British Columbia,Intensive,2006
2007,a,37012,Colombie-Britannique,British Columbia,Intensive,2007
2008,a,5402869,Colombie-Britannique,British Columbia,Intensive,2008
2009,a,3961725,Colombie-Britannique,British Columbia,Intensive,2009
2010,a,1983140,Colombie-Britannique,British Columbia,Intensive,2010
2011,a,80000,Colombie-Britannique,British Columbia,Intensive,2011
2012,p,1854908,Colombie-Britannique,British Columbia,Intensive,2012
2013,u,,Colombie-Britannique,British Columbia,Intensive,2013
2014,u,,Colombie-Britannique,British Columbia,Intensive,2014
2015,a,10588800,Colombie-Britannique,British Columbia,Intensive,2015
2016,a,3000,Colombie-Britannique,British Columbia,Intensive,2016
2017,a,6730625,Colombie-Britannique,British Columbia,Intensive,2017
